Date,Adj.Close,Volume,Open,High,Low
06/30/21,153.14,9798633.00,145.55,154.09,144.25
06/29/21,146.08,7478999.00,149.75,149.94,145.77
06/28/21,149.94,6450955.00,148.62,150.93,147.08
06/25/21,149.67,6452449.00,151.23,153.17,149.28
06/24/21,150.73,8173384.00,152.67,153.63,149.86
06/23/21,151.58,9335718.00,149.76,154.59,147.80
06/22/21,149.68,5790390.00,149.75,151.65,148.40
06/21/21,149.70,8040208.00,152.52,152.61,145.83
06/18/21,152.52,11628920.00,150.38,154.80,149.40
06/17/21,150.70,8171295.00,148.99,152.29,148.61
06/16/21,149.15,9632778.00,150.95,152.35,146.92
06/15/21,151.78,12007680.00,149.20,153.74,148.84
06/14/21,149.21,6107480.00,149.25,149.60,146.85
06/11/21,148.44,4819914.00,145.87,148.95,145.20
06/10/21,146.12,9482482.00,142.15,147.45,141.04
06/09/21,144.85,5606457.00,148.57,149.36,144.46
06/08/21,147.01,7125810.00,150.60,150.75,145.80
06/07/21,148.97,7780222.00,150.96,150.96,146.40
06/04/21,150.73,8534867.00,145.83,151.57,145.00
06/03/21,144.19,11083340.00,149.55,151.12,143.80
06/02/21,151.00,16245120.00,145.35,152.70,144.40
06/01/21,144.31,16552090.00,143.89,146.09,141.59
05/28/21,140.40,12000560.00,144.76,145.00,140.25
05/27/21,143.17,21270190.00,135.07,143.82,134.50
05/26/21,134.75,8179216.00,134.94,135.76,133.72
05/25/21,133.99,10435840.00,137.40,137.85,133.56
05/24/21,135.91,8543614.00,135.50,137.98,134.39
05/21/21,134.71,10056480.00,136.55,137.17,132.88
05/20/21,136.20,8903573.00,138.84,138.89,135.65
05/19/21,138.19,15565540.00,129.95,138.38,129.71
05/18/21,135.02,18555650.00,134.00,138.40,131.49
05/17/21,132.50,39715020.00,137.16,137.79,130.25
05/14/21,141.20,20325380.00,137.68,142.25,131.67
05/13/21,135.75,13005370.00,142.25,142.33,131.28
05/12/21,140.25,5307514.00,140.90,144.77,138.75
05/11/21,142.73,8257386.00,139.10,144.35,136.01
05/10/21,146.73,5827152.00,150.28,150.50,144.52
05/07/21,151.21,7133990.00,156.50,157.05,148.78
05/06/21,153.64,8528976.00,161.91,162.11,150.70
05/05/21,162.33,3590067.00,169.30,170.18,162.12
05/04/21,168.90,4658011.00,167.02,169.04,161.96
05/03/21,168.11,3149738.00,173.19,173.44,167.80
04/30/21,172.71,3579957.00,173.00,176.45,172.01
04/29/21,177.68,3116021.00,182.75,183.22,173.35
04/28/21,180.00,2409708.00,174.44,181.67,173.35
04/27/21,177.94,2882972.00,176.17,179.61,174.80
04/26/21,174.88,2549403.00,175.21,176.03,171.07
04/23/21,174.25,3335128.00,172.92,178.25,172.00
